,first_name,last_name,city,postal_code,state,specialty_code,src
0,Vinay,Aakalu,Chicago,60612,IL,207W00000X,asoprs
1,Samuel,Abbate,Wasilla,99654,AK,207RE0101X,endocrinologists
2,Maha,Abboud,Elmhurst,60126,IL,207RE0101X,endocrinologists
3,Mustapha,Abdul-Rahman,Winchester,22601,VA,207RE0101X,endocrinologists
4,Kiyomi,Abe,Los Angeles,90073,CA,207RE0101X,endocrinologists
5,Ari,Abel,Wilmington,19808,DE,207W00000X,asoprs
6,Daniel,Abouganem,Miami,33166,FL,207RE0101X,endocrinologists
7,Ali,Achira,Dearborn,48126,MI,207RE0101X,endocrinologists
8,James,Adams,Ypsilanti,48197,MI,207W00000X,asoprs
9,Saira,Adeel,Austell,30106,GA,207RE0101X,endocrinologists
10,Stuart,Adler,Saint Louis,63136,MO,207RE0101X,endocrinologists
11,Sonoo,Advani,West Orange,07052,NJ,207RE0101X,endocrinologists
12,Chhavi,Agarwal,Scarsdale,10583,NY,207RE0101X,endocrinologists
13,Bahar,Aghighi,Los Gatos,95030,CA,207RE0101X,endocrinologists
14,Gary,Aguilar,San Francisco,94109,CA,207W00000X,asoprs
15,Norman,Ahl,Tucson,85711,AZ,207W00000X,asoprs
16,Naseer,Ahmad,Southfield,48075,MI,207RE0101X,endocrinologists
17,Shema,Ahmad,Round Rock,78665,TX,207RE0101X,endocrinologists
18,Amjad,Ahmad,Lisle,60532,IL,207W00000X,asoprs
19,sheila,ahmadi,Los Angeles,90095,CA,207RE0101X,endocrinologists
20,Syed,Ahmed,Florence,35630,AL,207RE0101X,endocrinologists
21,Mohammed,Ahmed,Coon Rapids,55433,MN,207RE0101X,endocrinologists
22,Achal,Ahmed,Crystal Lake,60014,IL,207RE0101X,endocrinologists
23,Eric,Ahn,Torrance,90505,CA,207W00000X,asoprs
24,Bijan,Ahrari,Las Vegas,89148,NV,207RE0101X,endocrinologists
25,Audrey,Ahuero,Houston,77063,TX,207W00000X,asoprs
26,Salma,Ahwach,Jacksonville,32204,FL,207RE0101X,endocrinologists
27,Natasha,Akhter,Raleigh,27617,NC,207RE0101X,endocrinologists
28,Chris,Alabiad,Miami,33136,FL,207W00000X,asoprs
29,Adil,Alavi,Munster,46321,IN,207RE0101X,endocrinologists
30,Angel,Alejandro,Miami,33186,FL,207RE0101X,endocrinologists
31,Jimmy,Alele,Cincinnati,45255,OH,207RE0101X,endocrinologists
32,Maher,Alesali,White Hall,71602,AR,207RE0101X,endocrinologists
33,Erik,Alexander,Boston,02115,MA,207RE0101X,endocrinologists
34,Erika,Alford,Tamuning,96913,GU,207RE0101X,endocrinologists
35,Mark,Alford,Fort Worth,76104,TX,207W00000X,asoprs
36,Moussa,Alhaj,Ashland,41101,KY,207RE0101X,endocrinologists
37,Sophia,Ali,Toledo,43560,OH,207RE0101X,endocrinologists
38,somera,ali,Phoenixville,19460,PA,207RE0101X,endocrinologists
39,Jules,Aljammal,Salt Lake City,84124,UT,207RE0101X,endocrinologists
40,Richard,Allen,Houston,77030,TX,207W00000X,asoprs
41,Cheryl,Almirante,Newport News,23606,VA,207RE0101X,endocrinologists
42,Rami,Almokayyad,St Louis Park,55416,MN,207RE0101X,endocrinologists
43,Rajaa,Almourani,Columbia,65211,MO,207RE0101X,endocrinologists
44,Joseph,Aloi,Winston Salem,27157,NC,207RE0101X,endocrinologists
45,Mahmoud,Alsayed,Phoenix,85006,AZ,207RE0101X,endocrinologists
46,Mohamad,Alsayed,Bay City,48706,MI,207RE0101X,endocrinologists
47,Abdallah,Altarshan,Evergreen Park,60805,IL,207RE0101X,endocrinologists
48,George,Alter,Charlotte,28210,NC,207W00000X,asoprs
49,Madiha,Alvi,Danville,17822,PA,207RE0101X,endocrinologists
50,Arash,Amadi,Seattle,98119,WA,207W00000X,asoprs
51,Suma,Amarnath,Ypsilanti,48197,MI,207RE0101X,endocrinologists
52,Malena,Amato,Austin,78758,TX,207W00000X,asoprs
53,Elena,Ambrogini,Little Rock,72205,AR,207RE0101X,endocrinologists
54,Natalia,Anchipolovsky,Hackensack,07601,NJ,207RE0101X,endocrinologists
55,Richard,Anderson,SLC,84108,UT,207W00000X,asoprs
56,Agustin,Andrade,Miami Beach,33140,FL,207RE0101X,endocrinologists
57,Richard,Angrist,Somerset,08873,NJ,207W00000X,asoprs
58,Christine,Annunziata,Charlotte,28205,NC,207W00000X,asoprs
59,Mc,Antony,Anderson,29621,SC,207RE0101X,endocrinologists
60,Margaret,Apedo,Wappingers Falls,12590,NY,207RE0101X,endocrinologists
61,Baha,Arafah,Cleveland,44106,OH,207RE0101X,endocrinologists
62,Carlos,Arauz-Pacheco,Rockwall,75032,TX,207RE0101X,endocrinologists
63,Deepa,Aravind,Huntington Station,11746,NY,207RE0101X,endocrinologists
64,Kathleen,Archer,Houston,77079,TX,207W00000X,asoprs
65,Mary,Arden-Cordone,Stamford,06902,CT,207RE0101X,endocrinologists
66,Ridha,Arem,Houston,77054,TX,207RE0101X,endocrinologists
67,Carlos,Arguello,Birmingham,35233,AL,207RE0101X,endocrinologists
68,Srividya,Ariyan,Peoria,85381,AZ,207RE0101X,endocrinologists
69,Miguel,Ariza,Dracut,01826,MA,207RE0101X,endocrinologists
70,Joseph,Armenia,Webster,14580,NY,207W00000X,asoprs
71,Dagmar,Arnold,Olney,20832,MD,207RE0101X,endocrinologists
72,Shahana,Arshad,Clifton Springs,14432,NY,207RE0101X,endocrinologists
73,Joe,Arterberry,,,,207W00000X,asoprs
74,Ernest,Asamoah,Indianapolis,46256,IN,207RE0101X,endocrinologists
75,Mahdere,Asfaw,Fredericksburg,22401,VA,207RE0101X,endocrinologists
76,Neeraj,Ashri,Kings Mountain,28086,NC,207RE0101X,endocrinologists
77,Arnold,Asp,La Crosse,54601,WI,207RE0101X,endocrinologists
78,D,Aspenson,Tulsa,74133,OK,207RE0101X,endocrinologists
79,Dania,Assad,Southfield,48075,MI,207RE0101X,endocrinologists
80,Edwin,Augustat,Fort Worth,76109,TX,207W00000X,asoprs
81,Dipa,Avichal,New Hyde Park,11042,NY,207RE0101X,endocrinologists
82,Akinola,Ayodeji,Dothan,36301,AL,207RE0101X,endocrinologists
83,Walaa,Ayoub,Lexington,40504,KY,207RE0101X,endocrinologists
84,Aparna,Ayyagari,Plano,75025,TX,207RE0101X,endocrinologists
85,Sidra,Azim,Mountain View,94040,CA,207RE0101X,endocrinologists
86,Ghobad,Azizi,Wilmington,28406,NC,207RE0101X,endocrinologists
87,Varsha,Babu,Fresno,93720,CA,207RE0101X,endocrinologists
88,Thien-Giang,Bach-Huynh,Falls Church,22046,VA,207RE0101X,endocrinologists
89,Samuel,Baharestani,Smithtown,11787,NY,207W00000X,asoprs
90,Gul,Bahtiyar,Brooklyn,11206,NY,207RE0101X,endocrinologists
91,Joan,Bailey,Phoenix,85004,AZ,207RE0101X,endocrinologists
92,Rosalie,Bair,Bethesda,20817,MD,207W00000X,asoprs
93,Jasmina,Bajric,Tampa,33612,FL,207W00000X,asoprs
94,Ayla,Bakar,Mchenry,60050,IL,207RE0101X,endocrinologists
95,Meredith,Baker,Edina,55435,MN,207W00000X,asoprs
96,Sterling,Baker,Edmond,73013,OK,207W00000X,asoprs
97,Kyle,Balch,Gainesville,32608,FL,207W00000X,asoprs
98,Ernest,Baldwin,Salt Lake City,84102,UT,207RE0101X,endocrinologists
99,Alan,Balsam,Deerfield Beach,33442,FL,207RE0101X,endocrinologists
100,Vivek,Bansal,CLINTON,08809,NJ,207RE0101X,endocrinologists
